,verse,sentiment
Esther 6:5,attendant answer haman stand court bring king order,0.0
Esther 6:6,haman enter king ask man king delight honor haman think king honor,0.8834
Esther 6:7,answer king man king delight honor,0.7964
Esther 6:8,bring royal robe king wear horse king ride royal crest place head,0.0
Esther 6:9,let robe horse entrust king noble prince let robe man king delight honor lead horse city street proclaim man king delight honor,0.9531
Esther 6:10,king command haman robe horse suggest mordecai jew sit king gate neglect recommend,-0.128
Esther 6:11,haman get robe horse robe mordecai lead horseback city street proclaim man king delight honor,0.7964
Esther 6:12,afterward mordecai return king gate haman rush home head cover grief,-0.4939
Esther 6:13,tell zeresh wife friend happen adviser wife zeresh say mordecai downfall start jewish origin stand surely come ruin,0.3182
Esther 6:14,talk king eunuch arrive hurry haman away banquet esther prepare,0.0
Esther 7:1,king haman go queen esther banquet,0.0
Esther 7:2,drink wine second day king ask queen esther petition give request half kingdom grant,0.3612
Esther 7:3,queen esther answer find favor majesty please grant life petition spare people request,0.7579
Esther 7:4,people sell destroy kill annihilate merely sell male female slave keep quiet distress justify disturb,-0.936
Esther 7:5,king xerxes ask queen esther man dare thing,0.0
Esther 7:6,esther say adversary enemy vile haman haman terrify king queen,-0.9136
Esther 7:7,king get rage leave wine go palace garden haman realize king decide fate stay beg queen esther life,-0.5859
Esther 7:8,king return palace garden banquet hall haman fall couch esther recline king exclaim molest queen house soon word leave king mouth cover haman face,-0.5106
Esther 7:9,harbona eunuch attend king say pole reach height cubitsb stand haman house set mordecai speak help king king say impale,0.4215
Esther 7:10,impale haman pole set mordecai king fury subside,-0.5719
Esther 8:1,day king xerxes give queen esther estate haman enemy jews mordecai come presence king esther tell relate,-0.5423
Esther 8:2,king take signet ring reclaim haman present mordecai esther appoint haman estate,0.0
Esther 8:3,esther plead king fall foot weeping beg end evil plan haman agagite devise jews,-0.8074
Esther 8:4,king extend gold scepter esther arise stand,0.1779
Esther 8:5,please king say regard favor think right thing pleased let order write overrule dispatch haman son hammedatha agagite devise write destroy jews king province,0.5267
Esther 8:6,bear disaster fall people bear destruction family,-0.8316
Esther 8:7,king xerxes reply queen esther mordecai jew haman attack jews give estate esther impale pole set,-0.4767
Esther 8:8,write decree king behalf jews good seal king signet ring document write king seal ring revoke,0.4404
Esther 8:9,royal secretary summon day month month sivan write mordecai order jews satrap governor noble province stretch india order write script province language people jews script language,0.4588
Esther 8:10,mordecai write king xerxes seal dispatch king signet ring send mount courier ride fast horse especially breed king,0.0
Esther 8:11,king edict grant jews city right assemble protect destroy kill annihilate armed man nationality province attack woman child b plunder property enemy,-0.8934
Esther 8:12,day appoint jews province king xerxes thirteenth day twelfth month month adar,0.0
Esther 8:13,copy text edict issue law province known people nationality jews ready day avenge enemy,-0.25
Esther 8:14,courier ride royal horse go spur king command edict issue citadel susa,0.0
Esther 8:15,mordecai leave king presence wear royal garment blue white large crown gold purple robe fine linen city susa hold joyous celebration,0.6908
Esther 8:16,jews time happiness joy gladness honor,0.891
Esther 8:17,province city edict king come joy gladness jews feasting celebrating people nationality jews fear jews seize,0.6486
Esther 9:1,thirteenth day twelfth month month adar edict command king carry day enemy jews hope overpower table turn jews get upper hand hate,-0.2732
Esther 9:2,jews assemble city province king xerxes attack determine destroy stand people nationality afraid,-0.765
Esther 9:3,noble province satrap governor king administrator help jews fear mordecai seize,0.3612
Esther 9:4,mordecai prominent palace reputation spread province powerful,0.6249
Esther 9:5,jews strike enemy sword kill destroy please hate,-0.9393
Esther 9:6,citadel susa jews kill destroy man,-0.8481
Esther 9:7,kill parshandatha dalphon aspatha,-0.6908
Esther 9:8,poratha adalia aridatha,0.0
Esther 9:9,parmashta arisai aridai vaizatha,0.0
Esther 9:10,son haman son hammedatha enemy jews lay hand plunder,-0.0772
Esther 9:11,number kill citadel susa report king day,-0.6597
Esther 9:12,king say queen esther jews kill destroy man son haman citadel susa rest king province petition give request grant,-0.7717
Esther 9:13,please king esther answer jews susa permission carry day edict tomorrow let haman son impale pole,0.3182
Esther 9:14,king command edict issue susa impale son haman,0.0
Esther 9:15,jews susa come fourteenth day month adar death susa man lay hand plunder,-0.1779
Esther 9:16,remainder jews king province assemble protect relief enemy kill seventy thousand lay hand plunder,-0.0772
Esther 9:17,happen thirteenth day month adar fourteenth rest day feasting joy,0.5859
Esther 9:18,jews susa assemble thirteenth fourteenth fifteenth rest day feasting joy,0.5859
Esther 9:19,rural jews live village observe fourteenth month adar day joy feasting day give present,0.5859
Esther 9:20,mordecai record event send letter jews province king xerxes near far,0.0
Esther 9:21,celebrate annually fourteenth fifteenth day month adar,0.5719
Esther 9:22,time jews get relief enemy month sorrow turn joy mourning day celebration write observe day day feasting joy give present food gift poor,0.1779
Esther 9:23,jews agree continue celebration begin mordecai write,0.3612
Esther 9:24,haman son hammedatha agagite enemy jews plot jews destroy cast pur lot ruin destruction,-0.9382
Esther 9:25,plot come king attention issue write order evil scheme haman devise jews come head son impale pole,-0.6597
Esther 9:26,day call purim word pur write letter see happen,0.0
Esther 9:27,jews take establish custom descendant join fail observe day year way prescribe time appoint,-0.3182
Esther 9:28,day remember observe generation family province city day purim fail celebrate jews memory day die descendant,-0.5719
Esther 9:29,queen esther daughter abihail mordecai jew write authority confirm second letter concern purim,0.0772
Esther 9:30,mordecai send letter jews province xerxes kingdom word goodwill assurance,0.34
Esther 9:31,establish day purim designate time mordecai jew queen esther decree establish descendant regard time fasting lamentation,-0.34
Esther 9:32,esther decree confirm regulation purim write record,0.0
Esther 10:1,king xerxes impose tribute empire distant shore,-0.296
Esther 10:2,act power account greatness mordecai king promote write book annals king medium persia,0.3818
Esther 10:3,mordecai jew second rank king xerxes preeminent jews hold high esteem fellow jews work good people speak welfare jews,0.4404
Job 1:1,land uz live man job man blameless upright fear god shun evil,-0.7003
Job 1:2,seven son daughter,0.0
Job 1:3,own seven thousand sheep thousand camel yoke oxen donkey large number servant great man people east,0.6597
Job 1:4,son hold feast home birthday invite sister eat drink,0.1531
Job 1:5,period feasting run course job arrangement purify early morning sacrifice burn offering think child sin curse god heart job regular custom,-0.2023
Job 1:6,day angelsa come present lord satanb come,0.0
Job 1:7,lord say satan come satan answer lord roam earth go forth,0.0
Job 1:8,lord say satan consider servant job earth like blameless upright man fear god shun evil,-0.5106
Job 1:9,job fear god satan reply,-0.2732
Job 1:10,hedge household bless work hand flock herd spread land,0.7184
Job 1:11,stretch hand strike surely curse face,0.2732
Job 1:12,lord say satan power man lay finger satan go presence lord,0.0
Job 1:13,day job son daughter feast drink wine old brother house,0.0
Job 1:14,messenger come job say oxen plow donkey graze nearby,0.0
Job 1:15,sabeans attack servant sword escape tell,-0.34
Job 1:16,speak messenger come say fire god fall heaven burn sheep servant escape tell,0.5719
Job 1:17,speak messenger come say chaldeans form raid party sweep camel servant sword escape tell,0.5267
Job 1:18,speak messenger come say son daughter feast drink wine old brother house,0.0
Job 1:19,suddenly mighty wind sweep desert strike corner house collapse dead escape tell,-0.8074
Job 1:20,job get tear robe shave head fall ground worship,0.296
Job 1:21,say naked come mother womb naked lord give lord take away lord praise,0.5574
Job 1:22,job sin charge god wrongdoing,-0.3612
Job 2:1,day angelsa come present lord satan come present,0.0
Job 2:2,lord say satan come satan answer lord roam earth go forth,0.0
Job 2:3,lord say satan consider servant job earth like blameless upright man fear god shun evil maintain integrity incite ruin reason,-0.6705
Job 2:4,skin skin satan reply man life,0.0
Job 2:5,stretch hand strike flesh bone surely curse face,0.2732
Job 2:6,lord say satan hand spare life,0.4939
Job 2:7,satan go presence lord afflict job painful sore sol foot crown head,-0.6597
Job 2:8,job take piece broken pottery scrape sit ashe,-0.4767
Job 2:9,wife say maintain integrity curse god die,-0.5719
Job 2:10,reply talk like foolishb woman shall accept good god trouble job sin say,0.4215
Job 2:11,job friend eliphaz temanite bildad shuhite zophar naamathite hear trouble come set home meet agreement sympathize comfort,0.7351
Job 2:12,see distance hardly recognize begin weep aloud tore robe sprinkle dust head,-0.5325
Job 2:13,sit ground seven day seven night say word see great suffering,0.25
Job 3:1,job open mouth curse day birth,-0.5423
Job 3:2,say,0.0
Job 3:3,day birth perish night say boy conceive,0.0
Job 3:4,day turn darkness god care light shine,0.5106
Job 3:5,gloom utter darkness claim cloud settle blackness overwhelm,-0.7645
Job 3:6,night thick darkness seize include day year enter month,-0.25
Job 3:7,night barren shout joy hear,0.5859
Job 3:8,curse daysa curse day ready rouse leviathan,-0.6705
Job 3:9,morning star dark wait daylight vain ray dawn,-0.4215
Job 3:10,shut door womb hide trouble eye,-0.5267
Job 3:11,perish birth die come womb,-0.5994
Job 3:12,knee receive breast nurse,0.0
Job 3:13,lie peace asleep rest,0.5423
Job 3:14,king ruler earth build place lie ruin,-0.5859
Job 3:15,prince gold fill house silver,0.0
Job 3:16,hide away ground like stillborn child like infant see light day,0.5106
Job 3:17,wicked cease turmoil weary rest,-0.7906
Job 3:18,captive enjoy ease longer hear slave driver shout,0.6908
Job 3:19,small great slave free owner,0.8126
Job 3:20,light give misery life bitter soul,-0.7579
Job 3:21,long death come search hidden treasure,-0.4019
Job 3:22,fill gladness rejoice reach grave,0.1027
Job 3:23,life give man way hide god hedge,0.1027
Job 3:24,sigh daily food groan pour like water,0.3818
Job 3:25,fear come dread happen,-0.7351
Job 3:26,peace quietness rest turmoil,0.25
Job 4:1,eliphaz temanite reply,0.0
Job 4:2,venture word impatient speak,-0.296
Job 4:3,think instruct strengthen feeble hand,0.5106
Job 4:4,word support stumble strengthen falter knee,0.6124
Job 4:5,trouble come discourage strike dismayed,-0.836
Job 4:6,piety confidence blameless way hope,0.7845
Job 4:7,consider innocent perish upright destroy,-0.2732
Job 4:8,observe plow evil sow trouble reap,-0.7964
Job 4:9,breath god perish blast anger,-0.3818
Job 4:10,lion roar growl tooth great lion break,0.6249
Job 4:11,lion perish lack prey cub lioness scatter,-0.3182
Job 4:12,word secretly bring ear catch whisper,0.0
Job 4:13,amid disquieting dream night deep sleep fall people,0.25
Job 4:14,fear trembling seize bone shake,-0.7506
Job 4:15,spirit glide past face hair body stand end,0.1779
Job 4:16,stop tell form stand eye hear hushed voice,-0.296
Job 4:17,mortal righteous god strong man pure maker,0.6597
Job 4:18,god place trust servant charge angel error,0.4019
Job 4:19,live house clay foundation dust crush readily moth,-0.1531
Job 4:20,dawn dusk break piece unnoticed perish forever,0.0
Job 4:21,cord tent pull die wisdom,-0.128
Job 5:1,answer holy one turn,0.0
Job 5:2,resentment kill fool envy slay simple,-0.9118
Job 5:3,see fool take root suddenly house curse,-0.7506
Job 5:4,child far safety crush court defender,0.3818
Job 5:5,hungry consume harvest take thorn thirsty pant wealth,0.4939
Job 5:6,hardship spring soil trouble sprout ground,-0.6124
Job 5:7,man bear trouble surely spark fly upward,0.2732
Job 5:8,appeal god lay cause,0.2732
Job 5:9,perform wonder fathom miracle count,0.5859
Job 5:10,provide rain earth send water countryside,0.0
Job 5:11,lowly set high mourn lift safety,-0.25
Job 5:12,thwart plan crafty hand achieve success,0.7845
Job 5:13,catch wise craftiness scheme wily sweep away,0.4767
Job 5:14,darkness come daytime noon grope night,-0.25
Job 5:15,save needy sword mouth save clutch powerful,0.7783
Job 5:16,poor hope injustice shut mouth,-0.5994
Job 5:17,bless god correct despise discipline,0.3612
Job 5:18,wound bind injure hand heal,0.4939
Job 5:19,calamity rescue seven harm touch,-0.0516
Job 5:20,famine deliver death battle stroke sword,-0.7579
Job 5:21,protect lash tongue need fear destruction come,-0.6486
Job 5:22,laugh destruction famine need fear wild animal,-0.5106
Job 5:23,covenant stone field wild animal peace,0.5423
Job 5:24,know tent secure stock property find miss,0.2023
Job 5:25,know child descendant like grass earth,0.3612
Job 5:26,come grave vigor like sheaf gather season,0.25
Job 5:27,examine true hear apply,0.4215
Job 6:1,job reply,0.0
Job 6:2,anguish weigh misery place scale,-0.8225
Job 6:3,surely outweigh sand sea wonder word impetuous,0.4404
Job 6:4,arrow almighty spirit drink poison god terror marshal,-0.6249
Job 6:5,wild donkey bray grass ox bellow fodder,0.0
Job 6:6,tasteless food eat salt flavor sap mallowa,0.0
Job 6:7,refuse touch food make ill,-0.6124
Job 6:8,oh request god grant hope,0.7579
Job 6:9,god willing crush let loose hand cut life,0.0772
Job 6:10,consolation joy unrelenting pain deny word holy,-0.2263
Job 6:11,strength hope prospect patient,0.8074
Job 6:12,strength stone flesh bronze,0.4939
Job 6:13,power help success drive,0.7506
Job 6:14,withhold kindness friend forsake fear almighty,0.4588
Job 6:15,brother undependable intermittent stream stream overflow,0.0
Job 6:16,darken thaw ice swollen melt snow,0.0
Job 6:17,stop flow dry season heat vanish channel,-0.296
Job 6:18,caravan turn aside route wasteland perish,0.0
Job 6:19,caravan tema look water travel merchant sheba look hope,0.4404
Job 6:20,distressed confident arrive disappoint,-0.3182
Job 6:21,prove help dreadful afraid,-0.0516
Job 6:22,say behalf pay ransom wealth,0.4215
Job 6:23,deliver hand enemy rescue clutch ruthless,0.4588
Job 6:24,teach quiet wrong,-0.4767
Job 6:25,painful honest word argument prove,-0.2732
Job 6:26,mean correct treat desperate word wind,0.1027
Job 6:27,cast lot fatherless barter away friend,0.4939
Job 6:28,kind look lie face,0.5267
Job 6:29,relent unjust reconsider integrity,-0.1779
Job 6:30,wickedness lip mouth discern malice,-0.4767
Job 7:1,mortal hard service earth day like hire laborer,0.2732
Job 7:2,like slave long evening shadow hire laborer wait pay,0.2732
Job 7:3,allot month futility night misery assign,-0.5719
Job 7:4,lie think long night drag toss turn dawn,-0.2263
Job 7:5,body clothe worm scab skin break festering,0.0
Job 7:6,day swift weaver shuttle come end hope,0.5719
Job 7:7,remember o god life breath eye happiness,0.6908
Job 7:8,eye see long look,0.0
Job 7:9,cloud vanish go go grave return,-0.3818
Job 7:10,come house place know,0.0
Job 7:11,silent speak anguish spirit complain bitterness soul,-0.8126
Job 7:12,sea monster deep guard,0.0
Job 7:13,think bed comfort couch ease complaint,0.4215
Job 7:14,frighten dream terrify vision,-0.4019
Job 7:15,prefer strangling death body,-0.5994
Job 7:16,despise life live forever let day meaning,-0.34
Job 7:17,mankind attention,0.0
Job 7:18,examine morning test moment,0.0
Job 7:19,look away let instant,0.0
Job 7:20,sin target burden,-0.7579
Job 7:21,pardon offense forgive sin soon lie dust search,-0.296
Job 8:1,bildad shuhite reply,0.0
Job 8:2,long thing word blustering wind,0.0
Job 8:3,god pervert justice almighty pervert right,-0.2732
Job 8:4,child sin give penalty sin,-0.8807
Job 8:5,seek god earnestly plead almighty,0.2732
Job 8:6,pure upright rouse behalf restore prosperous state,0.6486
Job 8:7,beginning humble prosperous future,0.4767
Job 8:8,ask generation find ancestor learn,0.0
Job 8:9,bear yesterday know day earth shadow,0.0
Job 8:10,instruct tell bring forth word understanding,0.0
Job 8:11,papyrus grow tall marsh reed thrive water,0.0
Job 8:12,grow uncut wither quickly grass,0.0
Job 8:13,destiny forget god perish hope godless,0.4767
Job 8:14,trust fragilea rely spider web,0.5106
Job 8:15,lean web give way cling hold,0.0
Job 8:16,like water plant sunshine spread shoot garden,0.5106
Job 8:17,entwine root pile rock look place stone,0.0
Job 8:18,tear spot place disown say see,0.0
Job 8:19,surely life wither away andb soil plant grow,0.4404
Job 8:20,surely god reject blameless strengthen hand evildoer,0.5267
Job 8:21,fill mouth laughter lip shout joy,0.7906
Job 8:22,enemy clothe shame tent wicked,-0.875
Job 9:1,job reply,0.0
Job 9:2,know true mere mortal prove innocence god,0.7579
Job 9:3,wish dispute answer time thousand,0.0
Job 9:4,wisdom profound power vast resist come unscathed,0.5267
Job 9:5,move mountain know overturn anger,-0.5719
Job 9:6,shake earth place make pillar tremble,-0.4215
Job 9:7,speak sun shine seal light star,0.0
Job 9:8,stretch heaven tread wave sea,0.5106
Job 9:9,maker beara orion pleiades constellation south,0.0
Job 9:10,perform wonder fathom miracle count,0.5859
Job 9:11,pass go perceive,0.0
Job 9:12,snatch away stop,-0.296
Job 9:13,god restrain anger cohort rahab cower foot,-0.3818
Job 9:14,dispute find word argue,-0.6249
Job 9:15,innocent answer plead judge mercy,0.5994
Job 9:16,summon respond believe hearing,0.0
Job 9:17,crush storm multiply wound reason,-0.1531
Job 9:18,let catch breath overwhelm misery,-0.6597
Job 9:19,matter strength mighty matter justice challenge himb,0.7964
Job 9:20,innocent mouth condemn blameless pronounce guilty,-0.3182
Job 9:21,blameless concern despise life,-0.1779
Job 9:22,destroy blameless wicked,-0.7351
Job 9:23,scourge bring sudden death mock despair innocent,-0.765
Job 9:24,land fall hand wicked blindfold judge,-0.0516
Job 9:25,day swift runner fly away glimpse joy,0.6808
Job 9:26,skim past like boat papyrus like eagle swoop prey,0.6124
Job 9:27,forget complaint change expression smile,-0.1531
Job 9:28,dread suffering know hold innocent,-0.5719
Job 9:29,find guilty struggle vain,-0.7845
Job 9:30,wash soap hand cleansing powder,0.4939
Job 9:31,plunge slime pit clothe detest,0.0
Job 9:32,mere mortal like answer confront court,0.2023
Job 9:33,mediate bring,0.0
Job 9:34,remove god rod terror frighten,-0.5719
Job 9:35,speak fear stand,-0.4939
Job 10:1,loathe life free rein complaint speak bitterness soul,-0.5859
Job 10:2,god declare guilty tell charge,-0.1779
Job 10:3,oppress spurn work hand smile plan wicked,0.3182
Job 10:4,eye flesh mortal see,0.0
Job 10:5,day like mortal year like strong man,0.8074
Job 10:6,search fault probe sin,-0.743
Job 10:7,know guilty rescue hand,0.5719
Job 10:8,hand shape turn destroy,-0.0772
Job 10:9,remember mold like clay turn dust,0.3612
Job 10:10,pour like milk curdle like cheese,0.6124
Job 10:11,clothe skin flesh knit bone sinew,0.0
Job 10:12,give life show kindness providence watch spirit,0.5719
Job 10:13,conceal heart know mind,0.6369
Job 10:14,sin watch let offense unpunished,-0.6808
Job 10:15,guilty woe innocent lift head shame drown ina affliction,-0.875
Job 10:16,hold head high stalk like lion display awesome power,0.765
Job 10:17,bring new witness increase anger force come wave wave,-0.34
Job 10:18,bring womb wish die eye see,-0.296
Job 10:19,come carry straight womb grave,-0.1779
Job 10:20,day turn away moment joy,0.5859
Job 10:21,place return land gloom utter darkness,-0.7089
Job 10:22,land deep night utter darkness disorder light like darkness,-0.5819
Job 11:1,zophar naamathite reply,0.0
Job 11:2,word unanswered talker vindicate,0.0772
Job 11:3,idle talk reduce silence rebuke mock,-0.4215
Job 11:4,god belief flawless pure sight,0.6597
Job 11:5,oh wish god speak open lip,0.5859
Job 11:6,disclose secret wisdom true wisdom side know god forget sin,0.7351
Job 11:7,fathom mystery god probe limit almighty,0.2732
Job 11:8,high heaven deep depth know,0.5106
Job 11:9,measure long earth wide sea,0.0
Job 11:10,come confine prison convene court oppose,-0.5106
Job 11:11,surely recognize deceiver see evil note,-0.3612
Job 11:12,witless wise wild donkey colt bear,0.4767
Job 11:13,devote heart stretch hand,0.8689
Job 11:14,away sin hand allow evil dwell tent,-0.5267
Job 11:15,free fault lift face stand firm fear,-0.3818
Job 11:16,surely forget trouble recall water go,-0.1779
Job 11:17,life bright noonday darkness like morning,0.5267
Job 11:18,secure hope look rest safety,0.7964
Job 11:19,lie afraid court favor,0.4019
Job 11:20,eye wicked fail escape elude hope die gasp,-0.802
Job 12:1,job reply,0.0
Job 12:2,doubtless people matter wisdom die,0.128
Job 12:3,mind inferior know thing,-0.4019
Job 12:4,laughingstock friend call god answer mere laughingstock righteous blameless,0.7184
Job 12:5,ease contempt misfortune fate foot slip,-0.3182
Job 12:6,tent marauder undisturbed provoke god secure god,0.4404
Job 12:7,ask animal teach bird sky tell,0.0
Job 12:8,speak earth teach let fish sea inform,0.0
Job 12:9,know hand lord,0.4939
Job 12:10,hand life creature breath mankind,0.4939
Job 12:11,ear test word tongue taste food,0.0
Job 12:12,wisdom find age long life bring understanding,0.5267
Job 12:13,god belong wisdom power counsel understanding,0.6705
Job 12:14,tear rebuild imprison release,0.0
Job 12:15,hold water drought let loose devastate land,-0.7506
Job 12:16,belong strength insight deceive deceiver,0.128
Job 12:17,lead ruler away strip make fool judge,-0.4404
Job 12:18,take shackle king tie loinclothb waist,0.0
Job 12:19,lead priest away strip overthrow official long establish,0.0
Job 12:20,silence lip trust adviser take away discernment elder,0.5106
Job 12:21,pour contempt noble disarm mighty,-0.2023
Job 12:22,reveal deep thing darkness bring utter darkness light,-0.5095
Job 12:23,make nation great destroy enlarge nation disperse,0.1531
Job 12:24,deprive leader earth reason make wander trackless waste,-0.7096
Job 12:25,grope darkness light make stagger like drunkard,0.128
Job 13:1,eye see ear hear understand,0.0
Job 13:2,know know inferior,-0.4019
Job 13:3,desire speak almighty argue case god,0.34
Job 13:4,smear lie worthless physician,-0.6597
Job 13:5,altogether silent wisdom,0.5267
Job 13:6,hear argument listen plea lip,-0.3612
Job 13:7,speak wickedly god behalf speak deceitfully,-0.25
Job 13:8,partiality argue case god,-0.0772
Job 13:9,turn examine deceive deceive mortal,-0.6597
Job 13:10,surely account secretly show partiality,0.4404
Job 13:11,splendor terrify dread fall,-0.3182
Job 13:12,maxim proverb ashe defense defense clay,0.25
Job 13:13,silent let speak let come,0.0
Job 13:14,jeopardy life hand,0.0258
Job 13:15,slay hope surelya defend way face,0.4404
Job 13:16,turn deliverance godless person dare come,0.0
Job 13:17,listen carefully let word ring ear,0.128
Job 13:18,prepare case know vindicate,0.0772
Job 13:19,bring charge silent die,-0.5994
Job 13:20,grant thing god hide,0.4404
Job 13:21,withdraw hand far stop frighten terror,-0.5859
Job 13:22,summon answer let speak reply,0.0
Job 13:23,wrong sin commit offense sin,-0.8779
Job 13:24,hide face consider enemy,-0.6369
Job 13:25,torment windblown leaf chase dry chaff,0.0
Job 13:26,write bitter thing reap sin youth,-0.7506
Job 13:27,fasten foot shackle close watch path put mark sol foot,0.0
Job 13:28,man waste away like rotten like garment eat moth,-0.2732
Job 14:1,mortal bear woman day trouble,-0.4019
Job 14:2,spring like flower wither away like fleeting shadow endure,0.6124
Job 14:3,fix eye bring thema judgment,0.0
Job 14:4,bring pure impure,0.0
Job 14:5,person day determine decree number month set limit exceed,0.0772
Job 14:6,look away let till time like hire laborer,0.3612
Job 14:7,hope tree cut sprout new shoot fail,-0.6249
Job 14:8,root grow old ground stump die soil,-0.5994
Job 14:9,scent water bud forth shoot like plant,0.0258
Job 14:10,man die lay low breathe,-0.7184
Job 14:11,water lake dry riverbed parched dry,0.0
Job 14:12,lie rise till heaven people awake rouse sleep,0.5106
Job 14:13,hide grave conceal till anger pass set time remember,-0.7906
Job 14:14,die live day hard service wait renewalb come,-0.6486
Job 14:15,answer long creature hand,0.4939
Job 14:16,surely count step track sin,-0.1779
Job 14:17,offense seal bag cover sin,-0.6808
Job 14:18,mountain erode crumble rock move place,0.0
Job 14:19,water wear away stone torrent wash away soil destroy person hope,-0.1531
Job 14:20,overpower go change countenance send away,0.0
Job 14:21,child honor know offspring bring low,0.2732
Job 14:22,feel pain body mourn,-0.7269
Job 15:1,eliphaz temanite reply,0.0
Job 15:2,wise person answer notion fill belly hot east wind,0.4767
Job 15:3,argue useless word speech value,-0.4215
Job 15:4,undermine piety hinder devotion god,0.4404
Job 15:5,sin prompt mouth adopt tongue crafty,-0.4404
Job 15:6,mouth condemn lip testify,-0.3818
Job 15:7,man bear bring forth hill,0.0
Job 15:8,listen god council monopoly wisdom,0.6705
Job 15:9,know know insight,0.0
Job 15:10,gray haired age man old father,0.0
Job 15:11,god consolation word speak gently,0.6249
Job 15:12,heart carry away eye flash,0.6369
Job 15:13,vent rage god pour word mouth,-0.3612
Job 15:14,mortal pure bear woman righteous,0.0
Job 15:15,god place trust holy one heaven pure eye,0.8271
Job 15:16,mortal vile corrupt drink evil like water,-0.7906
Job 15:17,listen explain let tell see,0.0
Job 15:18,wise declare hide receive ancestor,0.34
Job 15:19,land give foreigner move,0.0
Job 15:20,day wicked man suffer torment ruthless man year store,-0.7845
Job 15:21,terrifying sound fill ear marauder attack,-0.7783
Job 15:22,despair escape realm darkness mark sword,-0.3818
Job 15:23,wander food like vulture know day darkness hand,0.1779
Job 15:24,distress anguish fill terror trouble overwhelm like king poise attack,-0.9403
Job 15:25,shake fist god vaunt almighty,0.1027
Job 15:26,defiantly charge thick strong shield,0.5106
Job 15:27,face cover fat waist bulge flesh,0.0
Job 15:28,inhabit ruin town house live house crumble rubble,-0.5859
Job 15:29,longer rich wealth endure possession spread land,0.7783
Job 15:30,escape darkness flame wither shoot breath god mouth carry away,-0.1531
Job 15:31,let deceive trust worthless return,-0.3182
Job 15:32,time wither branch flourish,0.0
Job 15:33,like vine strip unripe grape like olive tree shed blossom,0.6124
Job 15:34,company godless barren fire consume tent love bribe,0.25
Job 15:35,conceive trouble birth evil womb fashion deceit,-0.8779
Job 16:1,job reply,0.0
Job 16:2,hear thing like miserable comforter,0.296
Job 16:3,long winded speech end ail argue,-0.34
Job 16:4,speak like place fine speech shake head,0.3818
Job 16:5,mouth encourage comfort lip bring relief,0.836
Job 16:6,speak pain relieve refrain away,-0.2023
Job 16:7,surely god wear devastate entire household,-0.0258
Job 16:8,shrivel witness gauntness rise testify,0.0
Job 16:9,god assail tear anger gnash tooth opponent fasten piercing eye,-0.3818
Job 16:10,people open mouth jeer strike cheek scorn unite,-0.4939
Job 16:11,god turn ungodly throw clutch wicked,-0.3182
Job 16:12,shatter seize neck crush target,-0.1531
Job 16:13,archer surround pity pierce kidney spill gall ground,-0.296
Job 16:14,burst rush like warrior,0.3612
Job 16:15,sew sackcloth skin bury brow dust,0.0
Job 16:16,face red weep dark shadow ring eye,-0.5719
Job 16:17,hand free violence prayer pure,0.34
Job 16:18,earth cover blood cry lay rest,-0.4767
Job 16:19,witness heaven advocate high,0.5106
Job 16:20,intercessor frienda eye pour tear god,0.2732
Job 16:21,behalf man plead god plead friend,0.6486
Job 16:22,year pass path return,0.0
Job 17:1,spirit break day cut short grave await,-0.3818
Job 17:2,surely mocker surround eye dwell hostility,-0.2263
Job 17:3,o god pledge demand security,0.4588
Job 17:4,close mind understanding let triumph,0.4767
Job 17:5,denounce friend reward eye child fail,0.25
Job 17:6,god byword man face people spit,0.2732
Job 17:7,eye grow dim grief frame shadow,-0.4939
Job 17:8,upright appal innocent arouse ungodly,0.34
Job 17:9,righteous hold way clean hand grow strong,0.8481
Job 17:10,come try find wise man,0.4767
Job 17:11,day pass plan shatter desire heart,0.7845
Job 17:12,turn night day face darkness light near,-0.25
Job 17:13,home hope grave spread bed realm darkness,-0.1779
Job 17:14,corruption father worm mother sister,0.0
Job 17:15,hope hope,0.7003
Job 17:16,gate death descend dust,-0.5994
Job 18:1,bildad shuhite reply,0.0
Job 18:2,end speech sensible talk,0.0
Job 18:3,regard cattle consider stupid sight,-0.5267
Job 18:4,tear piece anger earth abandon sake rock move place,-0.765
Job 18:5,lamp wicked man snuff flame fire stop burn,-0.7906
Job 18:6,light tent dark lamp go,0.0
Job 18:7,vigor step weaken scheme throw,-0.1779
Job 18:8,foot thrust net wander mesh,0.0
Job 18:9,trap seize heel snare hold fast,-0.3182
Job 18:10,noose hide ground trap lie path,-0.4588
Job 18:11,terror startle dog step,-0.6908
Job 18:12,calamity hungry disaster ready fall,-0.3818
Job 18:13,eat away part skin death firstborn devour limb,-0.5994
Job 18:14,tear security tent march king terror,-0.25
Job 18:15,fire residesa tent burn sulfur scatter dwelling,-0.3182
Job 18:16,root dry branch wither,0.0
Job 18:17,memory perish earth land,0.0
Job 18:18,drive light realm darkness banish world,-0.5994
Job 18:19,offspring descendant people survivor live,0.3612
Job 18:20,people west appal fate east seize horror,-0.5719
Job 18:21,surely dwelling evil man place know god,-0.0772
Job 19:1,job reply,0.0
Job 19:2,long torment crush word,-0.1531
Job 19:3,time reproach shamelessly attack,-0.6705
Job 19:4,true go astray error remain concern,0.0258
Job 19:5,exalt use humiliation,-0.5719
Job 19:6,know god wrong draw net,-0.25
Job 19:7,cry violence response help justice,-0.2732
